buckets_per_day,vpin_window,bucket_size,total_pnl,buy_hold_pnl,excess_return,num_exits,win_rate,max_drawdown,num_buckets
150,125,8559.67274103078,1381.0836245092514,6790.89633637723,-5409.812711867979,87,50.57471264367817,-483.38958356990247,331050
150,150,8559.67274103078,1425.3407873197932,6864.753836851977,-5439.413049532184,80,50.0,-483.3895835699026,331050
150,175,8559.67274103078,1524.375940428093,6849.200083511705,-5324.824143083612,75,50.66666666666667,-507.25611092497377,331050
150,200,8559.67274103078,1455.0331801194604,7044.509461909334,-5589.476281789874,75,49.333333333333336,-500.13880116853636,331050
150,250,8559.67274103078,1600.3346577486757,6993.753904689241,-5393.419246940565,70,47.14285714285714,-1574.3217744664637,331050
150,300,8559.67274103078,1619.73638039933,6767.829867137415,-5148.093486738085,78,48.717948717948715,-1575.8210906551667,331050
175,15,7336.862349454954,956.637813169825,6696.036405454798,-5739.398592284973,237,56.118143459915615,-254.5487031859451,386225
175,20,7336.862349454954,891.3166845441389,6694.275274209457,-5802.958589665318,199,57.78894472361809,-254.54870318594521,386225
175,30,7336.862349454954,1053.7065793976572,6679.9451849243615,-5626.238605526704,172,54.06976744186046,-346.351326749337,386225
175,50,7336.862349454954,1265.1618828800972,6699.591838513326,-5434.429955633229,139,49.64028776978417,-458.41301407202013,386225
175,75,7336.862349454954,1370.6737973855925,6730.6088464934855,-5359.935049107893,107,53.271028037383175,-514.0925241849258,386225
175,100,7336.862349454954,1386.3955753470743,6669.252224653145,-5282.856649306071,100,52.0,-500.7928697814617,386225
175,125,7336.862349454954,1388.0637597358466,6748.830026753303,-5360.766267017457,87,54.02298850574713,-482.7748296852851,386225
175,150,7336.862349454954,1424.1972838757788,6803.857844404526,-5379.660560528748,89,51.68539325842697,-483.73541264345636,386225
175,175,7336.862349454954,1414.9819747730874,6863.139390856006,-5448.157416082919,79,54.43037974683544,-482.9509486360996,386225
175,200,7336.862349454954,1502.7694101861418,6841.327191631738,-5338.557781445596,81,53.086419753086425,-506.42377463965556,386225
175,250,7336.862349454954,1625.103249107395,7093.276937680439,-5468.173688573044,75,49.333333333333336,-1573.1051754491755,386225
175,300,7336.862349454954,1573.2492523224828,6939.889758428909,-5366.640506106426,74,55.4054054054054,-1573.8901438496403,386225
200,15,6419.754555773085,856.2962912969508,6720.760669946874,-5864.464378649924,256,52.34375,-254.62575569480867,441400
200,20,6419.754555773085,908.5562639256398,6692.243647962965,-5783.6873840373255,210,55.714285714285715,-254.62575569480862,441400
200,30,6419.754555773085,1077.1313853993508,6672.4687024017185,-5595.337317002368,186,58.06451612903226,-346.4723775751677,441400
200,50,6419.754555773085,1058.4788442065162,6688.201203733458,-5629.722359526942,142,54.22535211267606,-346.62120633278073,441400
200,75,6419.754555773085,1353.5600865055635,6722.307839781183,-5368.74775327562,118,55.08474576271186,-514.1419425435741,441400
200,100,6419.754555773085,1404.540496723721,6682.870886559547,-5278.330389835826,101,54.45544554455446,-514.1419425435743,441400
200,125,6419.754555773085,1335.4498711319015,6739.826332719389,-5404.376461587488,93,54.83870967741935,-482.4785037361048,441400
200,150,6419.754555773085,1384.624714744298,6743.9760679388255,-5359.351353194527,87,54.02298850574713,-483.4395658977188,441400
200,175,6419.754555773085,1392.9851514574427,6829.588795279726,-5436.603643822283,87,50.57471264367817,-483.68098378181276,441400
200,200,6419.754555773085,1411.6754380370392,6863.404468526708,-5451.729030489669,80,50.0,-483.68098378181276,441400
200,250,6419.754555773085,1422.9804080099784,6913.9609056801955,-5490.980497670217,74,55.4054054054054,-500.39731830681023,441400
200,300,6419.754555773085,1512.7449239933444,7100.842723338458,-5588.097799345114,76,53.94736842105263,-1573.418756136696,441400
250,15,5135.803644618468,782.2583881379779,6740.678783080689,-5958.420394942711,283,55.830388692579504,-254.7531552310411,551750
250,20,5135.803644618468,799.9577373974722,6704.840768203237,-5904.883030805764,246,51.21951219512195,-254.7531552310411,551750
250,30,5135.803644618468,855.2717163652521,6687.127467028207,-5831.855750662955,198,54.54545454545454,-254.54438274684367,551750
250,50,5135.803644618468,1099.2752741877173,6688.434947972375,-5589.159673784658,158,57.59493670886076,-346.2800503993269,551750
250,75,5135.803644618468,1301.203100726766,6722.123530455478,-5420.920429728712,123,60.16260162601627,-458.49887268538293,551750
